SDR1,SDR2,SDR3,SDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,SDR13,SDR14,SDR15,SDR16,SDR17,SDR18,SDR19,SDR20,SDR21,SDR22,SDR23,SDR24,SDR25,SDR26,SDR27,SDR28,SDR29,SDR30,SDR31,SDR32,SDR33,SDR34,SDR35,SDR36,SDR37,SDR38,SDR39,SDR40,SDR41,Class
510,539,543,550,560,562,566,567,573,576,578,579,581,582,587,591,617,627,633,635,637,641,659,661,677,704,711,738,753,761,767,786,806,848,863,931,939,947,968,1010,1023,0
539,550,560,562,567,573,578,579,581,586,587,591,617,627,633,635,637,659,661,671,672,677,680,711,717,726,730,738,741,747,753,767,863,916,931,939,947,956,968,1010,1023,0
543,562,573,578,579,581,587,623,635,637,671,672,680,705,711,717,719,723,727,730,731,738,740,748,753,761,762,767,786,799,902,922,931,945,947,956,962,968,1010,1016,1023,0
570,573,579,581,587,595,623,635,636,637,671,672,691,700,701,707,719,721,722,723,730,732,747,748,753,761,767,778,829,844,902,908,947,956,968,1016,1023,1027,1038,1053,1062,0
579,587,609,623,635,637,640,671,672,691,700,707,708,717,719,721,723,730,738,748,751,753,758,767,776,778,791,797,803,836,837,844,897,902,923,956,998,1023,1027,1038,1062,0
622,629,631,640,691,697,707,719,721,723,730,745,748,753,767,776,785,803,827,836,843,844,875,880,897,902,907,916,923,931,941,956,962,974,1023,1027,1032,1038,1062,1072,1074,0
622,631,658,682,691,697,700,707,723,745,776,780,785,803,827,828,830,843,844,875,876,880,891,897,923,925,926,931,941,944,956,962,969,974,1007,1027,1032,1038,1072,1082,1105,0
656,658,691,700,707,723,745,760,775,776,780,783,801,803,830,843,844,853,861,875,891,896,897,915,926,931,937,941,956,975,995,1007,1027,1032,1038,1050,1072,1074,1105,1115,1124,0
2,29,37,44,46,49,65,68,81,95,100,106,111,140,145,148,149,157,164,181,184,188,202,214,216,224,225,231,252,253,267,303,310,348,352,1975,2010,2026,2028,2029,2039,1
2,12,18,23,29,31,37,41,44,49,65,68,81,90,100,106,110,114,145,149,154,157,162,164,184,188,202,214,216,224,225,228,249,253,265,310,348,352,1979,2029,2039,1
2,18,19,25,31,37,44,46,49,65,90,100,106,115,119,130,145,149,152,154,157,161,163,164,176,188,191,202,214,216,224,225,235,249,253,264,303,306,348,430,2027,1
14,19,23,25,31,33,48,49,52,64,66,71,87,90,98,105,106,119,137,145,152,157,163,184,225,235,249,253,264,320,348,360,382,411,430,437,444,448,2023,2027,2045,1
3,23,25,31,36,48,49,52,60,64,87,90,98,101,106,110,119,127,152,157,163,175,176,177,201,202,225,229,235,243,246,253,267,286,320,360,382,411,427,444,2027,1
3,23,25,31,48,49,52,64,87,88,90,98,99,101,102,106,112,119,120,127,134,146,152,157,163,175,177,201,219,221,225,229,232,243,253,267,320,386,411,416,427,1
25,31,52,64,71,88,90,98,101,112,113,117,119,120,128,137,146,152,163,177,201,209,212,219,221,225,226,229,232,235,239,253,270,320,386,389,398,411,427,450,499,1
31,52,64,71,88,90,98,101,102,112,117,119,120,128,134,137,146,152,163,177,194,201,212,219,226,229,232,239,253,270,320,321,338,344,386,389,398,411,427,450,499,1
